时间,常驻人口总量情景1组合预测值,常驻人口总量情景2组合预测值,常驻人口总量情景3组合预测值,区域生产总值预测值
2010,7946.69097550400,7964.95776048582,7974.09115297720,41176.4909601472
2011,8026.48056990840,8033.78728496004,8037.44064248726,46049.7971317526
2012,8101.39902212285,8100.18123834115,8099.57234644983,50923.1033033598
2013,8171.44633214176,8164.13962062448,8160.48626486445,55796.4094749670
2014,8236.62249997258,8225.66243181191,8220.18239773111,60669.7156465724
2015,8296.92752561159,8284.74967190344,8278.66074504983,65543.0218181796
2016,8352.36140905879,8341.40134089906,8335.92130682059,70416.3279897850
2017,8402.92415031046,8395.61743880063,8391.96408304339,75289.6341613922
2018,8448.61574937403,8447.39796560444,8446.78907371825,80162.9403329976
2019,8489.43620624766,8496.74292131327,8500.39627884561,85036.2465046048
2020,8525.38552092947,8543.65230592620,8552.78569842502,89909.5526762102
2021,8556.46369341761,8588.12611944228,8603.95733245602,94782.8588478174
2022,8582.67072371207,8630.16436186526,8653.91118093953,99656.1650194246
2023,8604.00661181845,8669.76703319047,8702.64724387508,104529.471191030
2024,8620.47135773487,8706.93413342070,8750.16552126314,109402.777362637
2025,8632.06496145763,8741.66566255409,8796.46601310279,114276.083534243
2026,8638.78742298856,8773.96162059344,8841.54871939449,119149.389705850
2027,8640.63874232583,8803.82200753596,8885.41364013869,124022.695877455
2028,8637.61891947314,8831.24682338163,8928.06077533448,128896.002049062
2029,8629.72795443051,8856.23606813233,8969.49012498278,133769.308220668
2030,8616.96584719606,8878.78974178713,9009.70168908313,138642.614392275
2031,8599.33259776980,8898.90784434788,9048.69546763552,143515.920563882
2032,8576.82820614800,8916.59037581086,9086.47146064090,148389.226735488
2033,8549.45267233998,8931.83733617887,9123.02966809785,153262.532907095
2034,8517.20599633828,8944.64872545004,9158.37009000638,158135.839078700
2035,8480.08817814663,8955.02454362623,9192.49272636743,163009.145250307
2036,8438.09921776317,8962.96479070839,9225.39757718053,167882.451421913
2037,8391.23911518231,8968.46946669184,9257.08464244520,172755.757593520
2038,8339.50787041523,8971.53857158031,9287.55392216239,177629.063765125
2039,8282.90548345633,8972.17210537288,9316.80541633163,182502.369936733
2040,8221.43195430748,8970.37006807048,9344.83912495337,187375.676108340
2041,8155.08728296123,8966.13245967310,9371.65504802670,192248.982279945
2042,8083.87146942690,8959.45928017795,9397.25318555208,197122.288451552
2043,8007.78451370262,8950.35052958783,9421.63353752997,201995.594623158
2044,7926.82641578652,8938.80620790180,9444.79610395990,206868.900794765
2045,7840.99717567861,8924.82631511986,9466.74088484189,211742.206966370
2046,7750.29679337516,8908.41085124388,9487.46788017591,216615.513137978
2047,7654.72526888363,8889.55981627014,9506.97708996199,221488.819309583
2048,7554.28260220028,8868.27321020048,9525.26851420011,226362.125481190
2049,7448.96879332513,8844.55103303492,9542.34215289028,231235.431652797
2050,7338.78384226002,8818.39328477439,9558.19800603297,236108.737824403
2051,7223.72774899937,8789.79996541981,9572.83607362770,240982.043996010
2052,7103.80051354878,8758.77107496653,9586.25635567401,245855.350167615
2053,6979.00213590823,8725.30661341827,9598.45885217283,250728.656339223
2054,6849.33261607587,8689.40658077411,9609.44356312370,255601.962510828
2055,6714.79195405170,8651.07097703405,9619.21048852662,260475.268682435
2056,6575.38014983386,8610.29980220087,9627.75962838205,265348.574854041
2057,6431.09720342606,8567.09305626899,9635.09098268906,270221.881025648
2058,6281.94311482832,8521.45073924214,9641.20455144858,275095.187197255
2059,6127.91788403690,8473.37285111845,9646.10033465968,279968.493368860
2060,5969.02151105180,8422.85939189978,9649.77833232330,284841.799540468
