时间,常驻人口总量线性回归预测值,常驻人口总量多项式函数回归预测值
2010,7983.22454546759,7891.89062055573
2011,8041.09400001317,8004.56042474881
2012,8098.96345455875,8105.05237346515
2013,8156.83290910433,8193.36646669731
2014,8214.70236364989,8269.50270445645
2015,8272.57181819547,8333.46108673513
2016,8330.44127274105,8385.24161352962
2017,8388.31072728663,8424.84428485110
2018,8446.18018183221,8452.26910069212
2019,8504.04963637779,8467.51606104895
2020,8561.91909092337,8470.58516593650
2021,8619.78854546895,8461.47641533986
2022,8677.65800001452,8440.18980925903
2023,8735.52745456010,8406.72534770891
2024,8793.39690910568,8361.08303067833
2025,8851.26636365126,8303.26285815984
2026,8909.13581819684,8233.26483017206
2027,8967.00527274242,8151.08894670382
2028,9024.87472728800,8056.73520775139
2029,9082.74418183358,7950.20361332595
2030,9140.61363637914,7831.49416342005
2031,9198.48309092472,7700.60685802996
2032,9256.35254547030,7557.54169716686
2033,9314.22200001588,7402.29868082702
2034,9372.09145456147,7234.87780900672
2035,9429.96090910705,7055.27908170223
2036,9487.83036365263,6863.50249892101
2037,9545.69981819819,6659.54806066677
2038,9603.56927274377,6443.41576692089
2039,9661.43872728935,6215.10561770946
2040,9719.30818183493,5974.61761301383
2041,9777.17763638051,5721.95175283402
2042,9835.04709092609,5457.10803718120
2043,9892.91654547167,5180.08646605164
2044,9950.78600001725,4890.88703943416
2045,10008.6554545628,4589.50975734740
2046,10066.5249091084,4275.95461978018
2047,10124.3943636540,3950.22162672505
2048,10182.2638181996,3612.31077820063
2049,10240.1332727451,3262.22207419574
2050,10298.0027272907,2899.95551470667
2051,10355.8721818363,2525.51109974459
2052,10413.7416363819,2138.88882930204
2053,10471.6110909274,1740.08870337531
2054,10529.4805454730,1329.11072197556
2055,10587.3500000186,905.954885099083
2056,10645.2194545642,470.621192734689
2057,10703.0889091098,23.1096449010074
2058,10760.9583636553,-436.579758413136
2059,10818.8278182009,-908.447017215192
2060,10876.6972727465,-1392.49213148654
