时间,常驻人口总量情景1组合预测值,常驻人口总量情景2组合预测值,常驻人口总量情景3组合预测值
2010,7946.69097550400,7964.95776048582,7974.09115297720
2011,8026.48056990840,8033.78728496004,8037.44064248726
2012,8101.39902212285,8100.18123834115,8099.57234644983
2013,8171.44633214176,8164.13962062448,8160.48626486445
2014,8236.62249997258,8225.66243181191,8220.18239773111
2015,8296.92752561159,8284.74967190344,8278.66074504983
2016,8352.36140905879,8341.40134089906,8335.92130682059
2017,8402.92415031046,8395.61743880063,8391.96408304339
2018,8448.61574937403,8447.39796560444,8446.78907371825
2019,8489.43620624766,8496.74292131327,8500.39627884561
2020,8525.38552092947,8543.65230592620,8552.78569842502
2021,8556.46369341761,8588.12611944228,8603.95733245602
2022,8582.67072371207,8630.16436186526,8653.91118093953
2023,8604.00661181845,8669.76703319047,8702.64724387508
2024,8620.47135773487,8706.93413342070,8750.16552126314
2025,8632.06496145763,8741.66566255409,8796.46601310279
2026,8638.78742298856,8773.96162059344,8841.54871939449
2027,8640.63874232583,8803.82200753596,8885.41364013869
2028,8637.61891947314,8831.24682338163,8928.06077533448
2029,8629.72795443051,8856.23606813233,8969.49012498278
2030,8616.96584719606,8878.78974178713,9009.70168908313
2031,8599.33259776980,8898.90784434788,9048.69546763552
2032,8576.82820614800,8916.59037581086,9086.47146064090
2033,8549.45267233998,8931.83733617887,9123.02966809785
2034,8517.20599633828,8944.64872545004,9158.37009000638
2035,8480.08817814663,8955.02454362623,9192.49272636743
2036,8438.09921776317,8962.96479070839,9225.39757718053
2037,8391.23911518231,8968.46946669184,9257.08464244520
2038,8339.50787041523,8971.53857158031,9287.55392216239
2039,8282.90548345633,8972.17210537288,9316.80541633163
2040,8221.43195430748,8970.37006807048,9344.83912495337
2041,8155.08728296123,8966.13245967310,9371.65504802670
2042,8083.87146942690,8959.45928017795,9397.25318555208
2043,8007.78451370262,8950.35052958783,9421.63353752997
2044,7926.82641578652,8938.80620790180,9444.79610395990
2045,7840.99717567861,8924.82631511986,9466.74088484189
2046,7750.29679337516,8908.41085124388,9487.46788017591
2047,7654.72526888363,8889.55981627014,9506.97708996199
2048,7554.28260220028,8868.27321020048,9525.26851420011
2049,7448.96879332513,8844.55103303492,9542.34215289028
2050,7338.78384226002,8818.39328477439,9558.19800603297
2051,7223.72774899937,8789.79996541981,9572.83607362770
2052,7103.80051354878,8758.77107496653,9586.25635567401
2053,6979.00213590823,8725.30661341827,9598.45885217283
2054,6849.33261607587,8689.40658077411,9609.44356312370
2055,6714.79195405170,8651.07097703405,9619.21048852662
2056,6575.38014983386,8610.29980220087,9627.75962838205
2057,6431.09720342606,8567.09305626899,9635.09098268906
2058,6281.94311482832,8521.45073924214,9641.20455144858
2059,6127.91788403690,8473.37285111845,9646.10033465968
2060,5969.02151105180,8422.85939189978,9649.77833232330
